"Borough","CommunityBoard","CouncilDistrict","DispenserUnitLocation","GISPropNum","InstallationDate","Location","Manufacturer","MountingSurface","OBJECTID","OMPPropID","ParkDistrict","Precinct","PropertyName","RestockedBy","SubPropertyName","ZIPCode","point"
"",414,32,"Near Entrance","Q162Group","2018-04-23 04:00:00.0000000","B 84th St. sign","Mitt Mutt","Unpaved Surface",7211,"Q163-19","Q-14",100,"Rockaway Beach and Boardwalk","Parks","Rockaway Playground - M",11693,"POINT (-73.80968373848656 40.58515832987724)"
"X",205,14,"Park Interior","X148C1","","2' left of the routed sign","Mitt Mutt","Wrought Iron Fence",14414,"","X-05",46,"Featherbenches","Parks","",10452,"POINT (-73.91512887474032 40.84556638930007)"
"B",303,36,"Park Perimeter","B302","2018-03-13 04:00:00.0000000","Hopkins St. Perimeter","Mitt Mutt","Unpaved Surface",3608,"","B-03",79,"Charlie's Place","Parks","",11206,"POINT (-73.9464669173484 40.699392339479736)"
"B",312,40,"Park Perimeter","B065","2018-03-14 04:00:00.0000000","","Mitt Mutt","Paved Surface",5633,"B065-ZN02","B-12",66,"Ocean Parkway Malls","Parks","Ocean Parkway Malls Zone 2",11218,"POINT (-73.97294098066838 40.63602204112182)"
"X",207,11,"Park Interior","X033","","","Mitt Mutt","Paved Surface",16407,"X033-ZN03","X-07",52,"Mosholu Parkway","Parks","Mosholu Parkway Zone 3",10467,"POINT (-73.88187084646451 40.874546253779044)"
"X",202,17,"Park Perimeter","X029","","","Mitt Mutt","Unpaved Surface",3255,"","X-02",41,"Lyons Square Playground","Parks","",10459,"POINT (-73.88805212953518 40.823200147977104)"
"X",205,14,"Near Entrance","X257","","","Mitt Mutt","Wrought Iron Fence",14806,"","X-05",46,"Mount Hope Playground","Parks","",10453,"POINT (-73.90924632001891 40.85005182080919)"
"M",103,1,"Park Perimeter","M235","","near E Broadway entrance","Mitt Mutt","Wrought Iron Fence",32803,"","M-03",7,"Sol Lain Plgd","Parks","",10002,"POINT (-73.98417189852995 40.71443650029054)"
"B",316,41,"Park Perimeter","B377","2018-04-09 04:00:00.0000000","","Mitt Mutt","Chain Link Fence",6014,"","B-16",73,"Floyd Patterson Ballfields","Parks","",11212,"POINT (-73.90364069241737 40.66060384684859)"
"X",202,17,"Park Perimeter","X179","","","Mitt Mutt","Wrought Iron Fence",24004,"","X-02",41,"Playground 52 LII","Parks","",10455,"POINT (-73.90121857031733 40.81561346505944)"
"X",211,13,"Near Entrance","X163","","mid point of Haight Ave","Mitt Mutt","Chain Link Fence",20806,"","X-11",49,"Loreto Playground","Parks","",10461,"POINT (-73.85248139142173 40.8489636727915)"
"Q",401,22,"Near Entrance","Q004A","2017-12-21 05:00:00.0000000","entrance near 21st Ave and Shore Blvd","Mutt Mitt","Unpaved Surface",3206,"","Q-01",114,"Ralph Demarco Park","Parks","",11105,"POINT (-73.91702441049871 40.78426134140702)"
"B",303,33,"Near Entrance","B266","2018-02-09 05:00:00.0000000","Right of Franklin Av entrance","Mitt Mutt","Paved Surface",8405,"","B-03",79,"Star Spangled Playground","","",11205,"POINT (-73.95756244531941 40.69172843874666)"
"Q",410,28,"Near Entrance","Q092","2018-04-22 04:00:00.0000000","outside BBCT on 135th Ave.","Mitt Mutt","Unpaved Surface",6019,"","Q-10",106,"Police Officer Edward Byrne Park","Parks","",11420,"POINT (-73.80768341128395 40.667596562837545)"
"X",206,15,"Park Perimeter","X010A","","20 ft from 176 St","Mitt Mutt","Wrought Iron Fence",7612,"","X-06",48,"Walter Gladwin Park","Parks","",10457,"POINT (-73.89381185537192 40.84508211609219)"
"X",207,11,"Park Perimeter","X033","","on W. Mosh Pkwy btw Gates and Knox","Mitt Mutt","Unpaved Surface",16412,"X033-ZN01","X-07",52,"Mosholu Parkway","Parks","Mosholu Parkway Zone 1",10467,"POINT (-73.88455841913701 40.88157945673764)"
"B",301,33,"Near Dog Run","B058","2018-01-30 05:00:00.0000000","","Mitt Mutt","Unpaved Surface",12404,"B058-ZN05","B-01",94,"McCarren Park","Parks","McCarren Park Zone 5",11211,"POINT (-73.95299167249776 40.719866201631845)"
"B",304,34,"Near Entrance","B016","2018-04-13 04:00:00.0000000","Just inside Irving/Starr entrance","Mitt Mutt","Paved Surface",8025,"","B-04",83,"Maria Hernandez Park","","",11237,"POINT (-73.9238768121381 40.70420642138726)"
